Provider ID,Hospital Name,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
100281,MEMORIAL HOSPITAL WEST,33028,BROWARD,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,1,1,3,3,1,2
100285,MEMORIAL HOSPITAL MIRAMAR,33029,BROWARD,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,2,2,3,3,2,2
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,34119,COLLIER,Acute Care Hospitals,Proprietary,1,2,2,2,2,1,2,1,2
100287,GOOD SAMARITAN MEDICAL CENTER,33401,PALM BEACH,Acute Care Hospitals,Proprietary,1,2,2,3,1,1,3,1,2
100289,CLEVELAND CLINIC HOSPITAL,33331,BROWARD,Acute Care Hospitals,Proprietary,1,3,2,3,1,3,2,1,1
100290,"VILLAGES REGIONAL HOSPITAL, THE",32159,SUMTER,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,1,1,1,3
100291,WUESTHOFF MEDICAL CENTER-MELBOURNE,32935,BREVARD,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,2,1,3,2,2
100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,32550,WALTON,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,3,2,3,2,2,2
100296,DOCTORS HOSPITAL,33146,MIAMI-DADE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,1,1,2,3,1,2
100299,LAKEWOOD RANCH MEDICAL CENTER,34202,MANATEE,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,2,2,2
100302,ST CLOUD REGIONAL MEDICAL CENTER,34769,OSCEOLA,Acute Care Hospitals,Proprietary,1,2,2,2,2,1,2,1,2
100307,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,32216,DUVAL,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,2,2,1,3,2,2
100315,VIERA HOSPITAL,32940,BREVARD,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,1,2,3,3,3,2
100316,PALM BAY HOSPITAL,32907,BREVARD,Acute Care Hospitals,Proprietary,1,4,2,2,2,3,3,3,2
100319,FLORIDA HOSPITAL WESLEY CHAPEL,33544,PASCO,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,2,3,3,2,2
100320,POINCIANA MEDICAL CENTER,34758,OSCEOLA,Acute Care Hospitals,Proprietary,1,2,2,2,1,1,3,3,2
110001,HAMILTON MEDICAL CENTER,30720,WHITFIELD,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,3,3,2,3,2,2
110002,UPSON REGIONAL MEDICAL CENTER,30286,UPSON,Acute Care Hospitals,Voluntary non-profit - Other,1,3,1,2,2,3,2,2,2
110003,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",31501,WARE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,2,2,1,1,2
110004,CORNERSTONE MEDICAL CENTER,30742,CATOOSA,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,1,2,2
110005,NORTHSIDE HOSPITAL FORSYTH,30041,FORSYTH,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,2,3,3,2,2
110006,ST MARY'S HOSPITAL,30606,CLARKE,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,3,3,3,2,2,2
110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,31703,DOUGHERTY,Acute Care Hospitals,Government - Hospital District or Authority,1,1,1,1,1,1,2,1,3
110008,NORTHSIDE HOSPITAL CHEROKEE,30114,CHEROKEE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,2,3,3,2,2
110010,EMORY UNIVERSITY HOSPITAL,30322,DEKALB,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,3,2,3,3,1,2
110011,TANNER MEDICAL CENTER - CARROLLTON,30117,CARROLL,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,1,1,3,2,3,2
110015,TANNER MEDICAL CENTER VILLA RICA,30180,CARROLL,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,3,2
110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,30240,TROUP,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,3,2,2,2,1
110018,PIEDMONT NEWTON HOSPITAL,30014,NEWTON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,2,2,1,3,1,2
110023,GORDON HOSPITAL,30701,GORDON,Acute Care Hospitals,Voluntary non-profit - Church,1,5,2,3,3,3,3,2,2
110024,CANDLER HOSPITAL,31412,CHATHAM,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,1,3,1,2,1,1
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,31520,GLYNN,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,1,2,2,1,2,2
110027,"ST MARY'S SACRED HEART HOSPITAL, INC",30553,FRANKLIN,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,1,1,2,2
110028,UNIVERSITY HOSPITAL,30901,RICHMOND,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,3,1,2,3,2,3
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",30501,HALL,Acute Care Hospitals,Government - Local,1,3,2,2,3,3,1,2,3
110030,CARTERSVILLE MEDICAL CENTER,30120,BARTOW,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,3,2,2,3,3,2
110031,WELLSTAR SPALDING REGIONAL HOSPITAL,30223,SPALDING,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,3,2,2
110032,STEPHENS COUNTY HOSPITAL,30577,STEPHENS,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,1,2,2,2
110034,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS,30912,RICHMOND,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2,1,1,1,2,1,2
110036,"MEMORIAL HEALTH UNIV MED CEN, INC",31403,CHATHAM,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,1,3,1,2,1,1
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,31792,THOMAS,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,2,2,1,1
110041,HABERSHAM COUNTY MEDICAL CTR,30535,HABERSHAM,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,2,2
110042,WELLSTAR PAULDING HOSPITAL,30141,PAULDING,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,3,3,2,1,2
110043,ST JOSEPH'S HOSPITAL - SAVANNAH,31419,CHATHAM,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,3,1,2,1,1
110044,PHOEBE SUMTER MEDICAL CENTER,31719,SUMTER,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,1,2
110051,UNION GENERAL HOSPITAL,30512,UNION,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,3,2,2,2
110054,FLOYD MEDICAL CENTER,30162,FLOYD,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,3,2,2,3,2,3
110064,MIDTOWN MEDICAL CENTER,31901,MUSCOGEE,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,1,2,1,3,1,2
110069,HOUSTON MEDICAL CENTER,31093,HOUSTON,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,3,1,2,1,2,1
110074,ATHENS REGIONAL MEDICAL CENTER,30606,CLARKE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,1,3,2,2,2,2
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,30458,BULLOCH,Acute Care Hospitals,Proprietary,1,2,2,2,1,1,2,1,1
110076,DEKALB MEDICAL CENTER,30033,DEKALB,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,2,1,2,1,2
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,30308,FULTON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,1,3,1,3,1,2
110079,GRADY MEMORIAL HOSPITAL,30303,FULTON,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2,1,1,1,2,1,2
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",30342,FULTON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,1,3,3,2,2,2
110083,PIEDMONT HOSPITAL,30309,FULTON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,1,3,2,2,1,2
110087,GWINNETT MEDICAL CENTER,30045,GWINNETT,Acute Care Hospitals,Government - Hospital District or Authority,1,4,3,2,3,1,2,1,2
110089,COFFEE REGIONAL MEDICAL CENTER,31533,COFFEE,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,3,1,2,3,3,1
110091,ROCKDALE MEDICAL CENTER,30012,ROCKDALE,Acute Care Hospitals,Proprietary,1,2,2,2,1,1,3,1,2
110095,TIFT REGIONAL MEDICAL CENTER,31793,TIFT,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,1,2,3,1,3
110104,CRISP REGIONAL HOSPITAL,31015,CRISP,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,1,2,2,2
110105,COLQUITT REGIONAL MEDICAL CENTER,31768,COLQUITT,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,1,1,3,2,2,2
110107,"MEDICAL CENTER, NAVICENT HEALTH (THE)",31201,BIBB,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,2,1,1,1,1,2
110115,WELLSTAR ATLANTA MEDICAL CENTER,30312,FULTON,Acute Care Hospitals,Proprietary,1,1,2,1,1,1,3,1,2
110122,SOUTH GEORGIA MEDICAL CENTER,31603,LOWNDES,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,2,2,2,1,2
110124,WAYNE MEMORIAL HOSPITAL,31545,WAYNE,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,1,2,2,3,1
110125,FAIRVIEW PARK HOSPITAL,31021,LAURENS,Acute Care Hospitals,Proprietary,1,4,2,3,3,3,3,3,2
110128,MEADOWS REGIONAL MEDICAL CENTER,30474,TOOMBS,Acute Care Hospitals,Proprietary,1,3,2,1,2,3,2,3,1
110129,ST FRANCIS HOSPITAL,31995,MUSCOGEE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,2,3,1,2,1,2
110135,TAYLOR REGIONAL HOSPITAL,31036,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,1,3,2
110143,WELLSTAR COBB HOSPITAL,30106,COBB,Acute Care Hospitals,Voluntary non-profit - Other,1,2,3,1,1,1,2,1,2
110146,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,31558,CAMDEN,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,1,2,2
110150,OCONEE REGIONAL MEDICAL CENTER,31061,BALDWIN,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,3,2,2
110161,NORTHSIDE HOSPITAL,30342,FULTON,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,1,3,3,3,2,2
110164,COLISEUM MEDICAL CENTERS,31217,BIBB,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,1,3,3,2
110165,SOUTHERN REGIONAL MEDICAL CENTER,30274,CLAYTON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,1,1,2,1,2
110168,REDMOND REGIONAL MEDICAL CENTER,30165,FLOYD,Acute Care Hospitals,Proprietary,1,4,2,3,3,2,3,3,2
110177,DOCTORS HOSPITAL,30909,RICHMOND,Acute Care Hospitals,Proprietary,1,2,2,1,1,1,3,3,2
110184,WELLSTAR DOUGLAS HOSPITAL,30134,DOUGLAS,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,3,2,2
110187,CHESTATEE REGIONAL HOSPITAL,30533,LUMPKIN,Acute Care Hospitals,Proprietary,1,3,2,2,2,2,2,2,2
110189,FANNIN REGIONAL HOSPITAL,30513,FANNIN,Acute Care Hospitals,Proprietary,1,3,2,2,2,3,2,2,2
110191,PIEDMONT HENRY HOSPITAL,30281,HENRY,Acute Care Hospitals,Government - Hospital District or Authority,1,1,1,3,1,1,1,1,2
110192,EASTSIDE MEDICAL CENTER,30078,GWINNETT,Acute Care Hospitals,Proprietary,1,3,2,3,1,1,3,1,2
110198,WELLSTAR NORTH FULTON HOSPITAL,30076,FULTON,Acute Care Hospitals,Proprietary,1,2,2,1,1,1,2,2,2
110201,COLISEUM NORTHSIDE HOSPITAL,31210,BIBB,Acute Care Hospitals,Proprietary,1,4,2,3,2,2,3,3,2
110215,PIEDMONT FAYETTE HOSPITAL,30214,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,1,2,1,2
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,30143,PICKENS,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,2,2,2,2,2
110226,DEKALB MEDICAL CENTER AT HILLANDALE,30058,DEKALB,Acute Care Hospitals,Government - Hospital District or Authority,1,2,2,1,2,1,1,1,2
110229,"PIEDMONT NEWNAN HOSPITAL, INC",30265,COWETA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,3,3,2,2
110230,EMORY JOHNS CREEK HOSPITAL,30097,CHATTOOGA,Acute Care Hospitals,Proprietary,1,3,3,2,1,2,3,2,2
120001,THE QUEENS MEDICAL CENTER,96813,HONOLULU,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,1,3,3,2,1,3
120002,MAUI MEMORIAL MEDICAL CENTER,96793,MAUI,Acute Care Hospitals,Government - State,1,3,2,2,2,1,2,1,2
120005,HILO MEDICAL CENTER,96720,HAWAII,Acute Care Hospitals,Government - State,1,4,2,3,3,2,3,1,1
120006,CASTLE MEDICAL CENTER,96734,HONOLULU,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,2,2,3,3,2,2
120007,KUAKINI MEDICAL CENTER,96817,HONOLULU,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,2,2,2,2
120014,WILCOX MEMORIAL HOSPITAL,96766,KAUAI,Acute Care Hospitals,Government - Federal,1,4,2,2,3,3,3,1,2
120022,STRAUB CLINIC AND HOSPITAL,96813,HONOLULU,Acute Care Hospitals,Proprietary,1,5,2,3,3,3,3,2,2
120026,PALI MOMI MEDICAL CENTER,96701,HONOLULU,Acute Care Hospitals,Proprietary,1,4,2,2,3,3,3,2,2
120028,NORTH HAWAII COMMUNITY HOSPITAL,96743,HAWAII,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,2,2,2
130003,ST JOSEPH REGIONAL MEDICAL CENTER,83501,NEZ PERCE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,2,2,3,2
130007,ST ALPHONSUS REGIONAL MEDICAL CENTER,83706,ADA,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,1,3,1,3,2,3
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,83686,CANYON,Acute Care Hospitals,Voluntary non-profit - Church,1,4,2,3,3,2,3,3,2
130014,WEST VALLEY MEDICAL CENTER,83605,CANYON,Acute Care Hospitals,Proprietary,1,4,2,3,2,2,2,2,2
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,83404,BONNEVILLE,Acute Care Hospitals,Proprietary,1,4,1,3,3,2,3,3,2
130025,MADISON MEMORIAL HOSPITAL,83440,MADISON,Acute Care Hospitals,Government - Local,1,3,2,2,2,3,2,3,2
130028,PORTNEUF MEDICAL CENTER,83201,BANNOCK,Acute Care Hospitals,Proprietary,1,4,2,2,3,2,3,3,2
130049,KOOTENAI HEALTH,83814,KOOTENAI,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,3,1,2,2,2
131326,CASSIA REGIONAL MEDICAL CENTER,83318,CASSIA,Critical Access Hospitals,Voluntary non-profit - Private,1,4,2,2,2,3,2,2,2
140001,GRAHAM HOSPITAL ASSOCIATION,61520,FULTON,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,2,2,1,3,2
140002,ALTON MEMORIAL HOSPITAL,62002,MADISON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,1,2,3,2,2,3
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,60435,WILL,Acute Care Hospitals,Voluntary non-profit - Church,1,2,3,1,1,2,1,2,2
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,60160,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,1,2,1,2
140010,EVANSTON HOSPITAL,60201,COOK,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,1,3,1,3,2,3
140011,HERRIN HOSPITAL,62948,WILLIAMSON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,2,3,2,1
140012,KATHERINE SHAW BETHEA HOSPITAL,61021,LEE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,2,2,3,2
140013,PROCTOR HOSPITAL,61614,PEORIA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,2,3,2
140015,BLESSING HOSPITAL,62301,ADAMS,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,1,1,3,3,2,3
140018,MT SINAI HOSPITAL MEDICAL CENTER,60608,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,1,2,1,2,1,2
140029,COPLEY MEMORIAL HOSPITAL,60504,KANE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,1,3,3,3,2,3
140030,SHERMAN HOSPITAL,60123,KANE,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,3,3,3,3,3,2
140032,ST ANTHONYS MEMORIAL HOSPITAL,62401,EFFINGHAM,Acute Care Hospitals,Voluntary non-profit - Church,1,4,2,3,3,3,3,3,2
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,62801,MARION,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,1,3,2,2,2
140040,GALESBURG COTTAGE HOSPITAL,61401,KNOX,Acute Care Hospitals,Proprietary,1,3,2,2,1,2,3,2,2
140043,CGH MEDICAL CENTER,61081,WHITESIDE,Acute Care Hospitals,Government - Local,1,4,2,3,3,2,2,3,3
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,62864,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,3,1,2,2,2,2
140048,ADVOCATE TRINITY HOSPITAL,60617,COOK,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,1,1,1,2,1,2
140049,WEST SUBURBAN MEDICAL CENTER,60302,COOK,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,1,1,2,1,2
140052,OSF SAINT ANTHONY'S HEALTH CENTER,62002,MADISON,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,2,1,3,3,3,2
140053,ST JOHNS HOSPITAL,62769,SANGAMON,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,1,3,3,3,1,2
140054,MACNEAL  HOSPITAL,60402,COOK,Acute Care Hospitals,Proprietary,1,2,2,2,2,1,2,1,2
140058,PASSAVANT AREA HOSPITAL,62650,MORGAN,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,3,2,2,2,2
140062,PALOS COMMUNITY HOSPITAL,60463,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,1,3,3,2,2,3
140063,RUSH OAK PARK HOSPITAL,60304,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,2,3,3,3,2
140064,ST MARY MEDICAL CENTER,61401,KNOX,Acute Care Hospitals,Voluntary non-profit - Church,0,3,1,3,2,3,2,2,2
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,60525,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,5,3,2,3,3,3,3,2
140067,SAINT FRANCIS MEDICAL CENTER,61637,PEORIA,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,1,3,3,1,1,2
140080,PRESENCE SAINT FRANCIS HOSPITAL,60202,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,2,2,3,1,1,3,1,2
140082,LOUIS A WEISS MEMORIAL HOSPITAL,60640,COOK,Acute Care Hospitals,Proprietary,1,2,2,1,1,1,3,2,2
140084,VISTA MEDICAL CENTER EAST,60085,LAKE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,1,3,1,3,1,2
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,60637,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,1,1,3,2,1,3
140089,MC DONOUGH DISTRICT HOSPITAL,61455,MCDONOUGH,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,3,3,2,3,1
140091,THE CARLE FOUNDATION HOSPITAL,61801,CHAMPAIGN,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,1,3,3,2,2
140093,PRESENCE UNITED SAMARITANS MEDICAL CENTER,61832,VERMILION,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,3,1,2,2,3,2
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,60450,GRUNDY,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,3,3,3,3,2
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,61350,LA SALLE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,2,3,2
140113,PRESENCE COVENANT MEDICAL CENTER,61801,CHAMPAIGN,Acute Care Hospitals,Voluntary non-profit - Church,1,3,1,3,1,2,1,2,2
140114,SWEDISH COVENANT HOSPITAL,60625,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,3,3,2,1,2,2,2,2
140115,THOREK MEMORIAL HOSPITAL,60613,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,1,1,2,1,2
140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,60050,MCHENRY,Acute Care Hospitals,Voluntary non-profit - Other,1,4,3,3,3,2,3,2,2
140117,PRESENCE RESURRECTION MEDICAL CENTER,60631,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,1,1,2,3,2
140118,METROSOUTH MEDICAL CENTER,60406,COOK,Acute Care Hospitals,Proprietary,1,2,3,2,1,1,2,1,2
140119,RUSH UNIVERSITY MEDICAL CENTER,60612,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,3,1,3,3,1,2
140120,PEKIN MEMORIAL HOSPITAL,61554,TAZEWELL,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,2,2,2,2
140122,ADVENTIST HINSDALE HOSPITAL,60521,DUPAGE,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,3,3,3,3,2
140124,JOHN H STROGER JR HOSPITAL,60612,COOK,Acute Care Hospitals,Government - Local,0,2,2,1,1,1,1,1,2
140125,GATEWAY REGIONAL MEDICAL CENTER,62040,MADISON,Acute Care Hospitals,Proprietary,1,2,2,2,1,1,2,3,2
140127,ADVOCATE BROMENN MEDICAL CENTER,61761,MCLEAN,Acute Care Hospitals,Voluntary non-profit - Church,1,3,1,2,3,3,3,2,1
140130,NORTHWESTERN LAKE FOREST HOSPITAL,60045,LAKE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,2,2,2,2,2,1
140133,HOLY CROSS HOSPITAL,60629,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,1,1,1,1,1,2
140135,DECATUR MEMORIAL HOSPITAL,62526,MACON,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,3,1,2,1,2
140143,ST MARGARETS HOSPITAL,61362,BUREAU,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,2,3,2,3,2
140147,RICHLAND MEMORIAL HOSPITAL,62450,RICHLAND,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,3,2,3,1
140148,MEMORIAL MEDICAL CENTER,62781,SANGAMON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,2,2,1,2,1,3
140150,UNIVERSITY OF ILLINOIS HOSPITAL,60612,COOK,Acute Care Hospitals,Government - State,1,1,2,1,1,1,2,1,2
140155,PRESENCE ST MARYS HOSPITAL,60901,KANKAKEE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,1,2,3,1,2,1
140158,MERCY HOSPITAL AND MEDICAL CENTER,60616,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,2,3,1,1,1,2,1,2
140160,FHN MEMORIAL HOSPITAL,61032,STEPHENSON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,1,2,2,2,3,2
140161,SAINT JAMES HOSPITAL,61764,LIVINGSTON,Acute Care Hospitals,Voluntary non-profit - Church,1,4,2,2,2,3,2,3,2
140162,ST JOSEPH MEDICAL CENTER,61701,MCLEAN,Acute Care Hospitals,Voluntary non-profit - Church,1,4,1,3,2,3,2,2,2
140164,MEMORIAL HOSPITAL OF CARBONDALE,62902,JACKSON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,1,3,3,2,2
140166,ST MARYS HOSPITAL,62521,MACON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,2,3,2,2
140172,FRANCISCAN ST JAMES HEALTH,60461,COOK,Acute Care Hospitals,Proprietary,1,1,3,1,1,1,2,2,2
140174,PRESENCE MERCY MEDICAL CENTER,60506,KANE,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,2,3,2,3,2,2
140176,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,60098,MCHENRY,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,3,3,2,3,2,2
140177,JACKSON PARK HOSPITAL,60649,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2,1,1,1,2,2
140179,LITTLE COMPANY OF MARY HOSPITAL,60805,COOK,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,1,1,2,1,1,1
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,60622,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,1,2,3,1,2
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,60657,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,2,2,1,1,2,2,1,2
140184,HEARTLAND REGIONAL MEDICAL CENTER,62959,WILLIAMSON,Acute Care Hospitals,Proprietary,1,2,2,1,1,2,3,3,2
140185,MEMORIAL HOSPITAL,62226,SAINT CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,3,2,2,3,1,3
140186,RIVERSIDE MEDICAL CENTER,60901,KANKAKEE,Acute Care Hospitals,Voluntary non-profit - Private,1,5,3,3,3,3,3,2,3
140187,ST ELIZABETH HOSPITAL,62220,SAINT CLAIR,Acute Care Hospitals,Voluntary non-profit - Church,1,2,2,1,1,2,3,2,1
140189,SARAH BUSH LINCOLN HEALTH CENTER,61938,COLES,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,3,2,2,2
140191,INGALLS MEMORIAL HOSPITAL,60426,COOK,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,3,1,1,3,2,2
140200,ELMHURST MEMORIAL HOSPITAL,60126,DUPAGE,Acute Care Hospitals,Proprietary,1,4,3,2,2,3,2,2,2
140202,ADVOCATE CONDELL MEDICAL CENTER,60048,LAKE,Acute Care Hospitals,Voluntary non-profit - Private,1,5,3,3,3,2,3,1,3
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,60453,COOK,Acute Care Hospitals,Voluntary non-profit - Church,1,3,3,1,1,2,3,1,2
